b,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00
$2,2.09999e+00,2.09999e+00,7.05237e-03,7.05237e-03
out,8.00334e-03,8.21839e-03,8.02129e-03,2.69254e+00
$1,2.00084e-02,2.05460e-02,2.00532e-02,6.73135e+00
a,1.30000e-03,1.30000e-03,4.40000e+00,4.40000e+00
$3,3.77065e+00,7.01951e-02,3.77065e+00,7.01951e-02
